[2024-12-01 14:45:32] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-02 14:50:10] [ERROR] User: Bob, Action: Download, IP: 192.168.0.2
[2024-12-03 14:55:20] [INFO] User: Alice, Action: Logout, IP: 192.168.0.1
[2024-12-04 15:00:05] [INFO] User: Charlie, Action: Login, IP: 192.168.0.3
[2024-12-05 15:02:15] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-06 15:05:30] [ERROR] User: Dave, Action: Upload, IP: 192.168.0.4
[2024-12-07 15:10:45] [INFO] User: Bob, Action: Logout, IP: 192.168.0.2
[2024-12-08 15:15:00] [INFO] User: Charlie, Action: Download, IP: 192.168.0.3
[2024-12-09 15:20:10] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-10 15:25:20] [ERROR] User: Alice, Action: Download, IP: 192.168.0.1
[2024-12-11 15:30:25] [INFO] User: Charlie, Action: Logout, IP: 192.168.0.3
[2024-12-12 15:35:40] [INFO] User: Bob, Action: Login, IP: 192.168.0.2
[2024-12-13 15:40:55] [ERROR] User: Dave, Action: Download, IP: 192.168.0.4
[2024-12-14 15:45:05] [INFO] User: Alice, Action: Logout, IP: 192.168.0.1
[2024-12-15 15:50:15] [INFO] User: Charlie, Action: Login, IP: 192.168.0.3
[2024-12-16 15:55:25] [ERROR] User: Alice, Action: Upload, IP: 192.168.0.1
[2024-12-17 16:00:35] [INFO] User: Bob, Action: Login, IP: 192.168.0.2
[2024-12-18 16:05:45] [INFO] User: Dave, Action: Logout, IP: 192.168.0.4
[2024-12-19 16:10:55] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-20 16:15:05] [INFO] User: Charlie, Action: Logout, IP: 192.168.0.3
[2024-12-21 16:20:20] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-22 16:25:25] [ERROR] User: Bob, Action: Upload, IP: 192.168.0.2
[2024-12-23 16:30:30] [INFO] User: Alice, Action: Logout, IP: 192.168.0.1
[2024-12-24 16:35:35] [INFO] User: Dave, Action: Login, IP: 192.168.0.4
[2024-12-25 16:40:40] [ERROR] User: Alice, Action: Download, IP: 192.168.0.1
[2024-12-26 16:45:45] [INFO] User: Bob, Action: Logout, IP: 192.168.0.2
[2024-12-27 16:50:50] [INFO] User: Charlie, Action: Download, IP: 192.168.0.3
[2024-12-28 16:55:55] [ERROR] User: Dave, Action: Upload, IP: 192.168.0.4
[2024-12-29 17:00:00] [INFO] User: Alice, Action: Login, IP: 192.168.0.1
[2024-12-30 17:05:05] [INFO] User: Bob, Action: Login, IP: 192.168.0.2
[2024-12-31 17:10:10] [INFO] User: Alice, Action: Logout, IP: 192.168.0.1
